component,event,day,times,country,country_code,city
TelemetryExtension,sendFunctionCountToServer,2024-09-19,4,Unknown,,Unknown
BoneReconstructionPlanner,onGenerateFibulaPlanesTimerTimeout,2024-09-19,4,Unknown,,Unknown
BoneReconstructionPlanner,makeBooleanOperationsToMandibleSurgicalGuideBase,2024-09-19,3,Unknown,,Unknown
ENTProcedureGuide,verifyDataIntegrity,2019-01-09,2,Brazil,BRA,Rio de Janeiro
PatientEngagementHub,calculateOptimalPathways,2022-12-02,2,China,CHN,
ENTProcedureGuide,archiveOldLogFiles,2019-02-11,8,Unknown,,Unknown
PulmonaryFunctionTester,analyzeServerPerformance,2019-12-20,3,Germany,DEU,Munich
PharmacyInventoryManager,deploySoftwareUpdates,2020-01-16,6,Italy,ITA,
ImmunologyResponseEvaluator,makeBooleanOperationsToFibulaSurgicalGuideBase,2022-04-10,10,Unknown,,Unknown
HospitalRoomAllocationSystem,updateFirmwareVersions,2019-06-04,6,United States,USA,Waterloo
SportsInjuryPreventor,deploySoftwareUpdates,2020-03-10,2,Chile,CHL,Valparaíso
HematologyAnalyzer,manageResourceAllocation,2021-12-29,9,United States,USA,
WoundCareToolkit,monitorNetworkLatency,2019-07-03,2,South Africa,ZAF,Stellenbosch
EndocrineHealthMonitor,updateFirmwareVersions,2021-02-10,7,Finland,FIN,
HospitalRoomAllocationSystem,sendFunctionCountToServer,2024-03-07,7,Unknown,,Unknown
NeurosurgeryNavigationSystem,updateFirmwareVersions,2019-06-02,2,Italy,ITA,Milan
PainManagementAdvisor,analyzeServerPerformance,2021-08-23,1,United States,USA,
PainManagementAdvisor,onGenerateFibulaPlanesTimerTimeout,2024-01-05,10,China,CHN,
BloodPressureRegulator,analyzeServerPerformance,2020-05-09,3,Japan,JPN,Gujō
ENTProcedureGuide,simulateLoadBalancing,2019-10-30,5,United States,USA,West Richland
GeriatricCarePlanner,generateEncryptionKeys,2022-09-08,6,United States,USA,
PatientEngagementHub,verifyDataIntegrity,2023-11-02,8,United States,USA,
NeuralNetworkDiagnostics,configureVirtualMachines,2022-09-03,10,United States,USA,
MedicalEducationSimulator,simulateLoadBalancing,2020-12-23,2,China,CHN,
MedicalEducationSimulator,archiveOldLogFiles,2023-08-14,7,United States,USA,Reynoldsburg
InfectiousDiseaseMapper,analyzeServerPerformance,2021-04-07,7,United States,USA,
VaccineAdministrationLog,initializeSystemDiagnostics,2021-10-28,7,Brazil,BRA,
RadiologyImagingCenter,trackApplicationDependencies,2022-09-04,4,Brazil,BRA,São Paulo
WoundCareToolkit,updateFirmwareVersions,2024-05-26,2,South Korea,KOR,Seoul
AllergyReactionTracker,configureVirtualMachines,2020-12-31,8,United States,USA,
ObstetricsLaborTracker,deploySoftwareUpdates,2021-10-27,3,Unknown,,Unknown
OphthalmologyVisionAnalyzer,scheduleSystemBackups,2023-11-17,8,United States,USA,Grand Rapids
NeurosurgeryNavigationSystem,simulateLoadBalancing,2019-04-17,6,China,CHN,
MentalHealthTherapyAssistant,monitorNetworkLatency,2021-09-27,8,Japan,JPN,
OphthalmologyVisionAnalyzer,initializeSystemDiagnostics,2022-02-28,2,South Korea,KOR,
MentalHealthTherapyAssistant,verifyDataIntegrity,2023-01-01,6,Australia,AUS,Sydney
GeriatricCarePlanner,monitorNetworkLatency,2019-07-14,5,Russia,RUS,Moscow
PulmonaryFunctionTester,sendFunctionCountToServer,2020-05-26,3,United States,USA,
SportsInjuryPreventor,analyzeServerPerformance,2019-06-08,7,Unknown,,Unknown
HealthcarePolicyLibrary,archiveOldLogFiles,2019-01-01,5,United States,USA,
MedicalWasteManagement,reportSystemHealthStatus,2022-12-08,10,United Kingdom,GBR,
UrologyManagementSystem,verifyDataIntegrity,2023-01-26,9,United States,USA,Columbus
PediatricCareAssistant,verifyDataIntegrity,2021-02-22,2,United Kingdom,GBR,Swindon
ClinicalTrialManager,deploySoftwareUpdates,2024-02-26,1,United States,USA,Glen Mills
HealthcarePolicyLibrary,deploySoftwareUpdates,2019-02-03,4,United States,USA,Crested Butte
RehabilitationExercisePlanner,validateUserPermissions,2019-12-10,2,Sweden,SWE,
HealthcarePolicyLibrary,validateUserPermissions,2019-07-01,1,United States,USA,
GeneticDisorderExplorer,optimizeDatabaseQueries,2021-08-07,9,Unknown,,Unknown
ClinicalTrialManager,validateUserPermissions,2021-07-28,1,Unknown,,Unknown
OrthopedicProcedureSimulator,verifyDataIntegrity,2022-03-24,6,China,CHN,
ClinicalTrialManager,updateFirmwareVersions,2023-04-26,3,Japan,JPN,
SportsInjuryPreventor,initializeSystemDiagnostics,2022-01-15,5,United States,USA,
SurgicalInstrumentTracker,optimizeDatabaseQueries,2024-07-09,10,Germany,DEU,
NeuralNetworkDiagnostics,verifyDataIntegrity,2021-02-23,5,United States,USA,
FitnessAndWellnessGuide,cleanTemporaryFiles,2020-08-07,1,Unknown,,Unknown
HealthcarePolicyLibrary,sendFunctionCountToServer,2020-03-19,8,Germany,DEU,Hamburg
DiabetesCareManager,monitorNetworkLatency,2024-09-21,3,United Kingdom,GBR,
DermatologyTreatmentPlanner,makeBooleanOperationsToFibulaSurgicalGuideBase,2023-04-01,5,France,FRA,
CardiovascularAssessmentTool,generateEncryptionKeys,2021-08-25,7,United States,USA,Scotts Valley
OphthalmologyVisionAnalyzer,deploySoftwareUpdates,2023-10-06,2,Brazil,BRA,São Caetano do Sul
ObstetricsLaborTracker,scheduleSystemBackups,2019-03-05,2,Japan,JPN,
GastrointestinalTracker,validateUserPermissions,2023-08-30,10,Argentina,ARG,La Plata
PatientFeedbackAnalyzer,calculateOptimalPathways,2019-01-01,2,China,CHN,Zhengzhou
MedicalEducationSimulator,initializeSystemDiagnostics,2022-09-24,8,United Kingdom,GBR,
BloodPressureRegulator,manageResourceAllocation,2022-01-29,2,The Netherlands,NLD,Nieuwveen
SleepDisorderAnalyzer,deploySoftwareUpdates,2021-04-24,6,Türkiye,TUR,
EmergencyResponseCoordinator,sendFunctionCountToServer,2020-09-08,10,France,FRA,Hettange-Grande
RehabilitationExercisePlanner,analyzeServerPerformance,2021-03-09,5,China,CHN,
PainManagementAdvisor,reportSystemHealthStatus,2023-06-13,4,Unknown,,Unknown
MedicalBillingAndCoding,analyzeServerPerformance,2021-11-14,9,United States,USA,
HematologyAnalyzer,deploySoftwareUpdates,2019-10-16,4,Italy,ITA,
PatientFeedbackAnalyzer,simulateLoadBalancing,2023-09-02,6,United States,USA,Los Angeles
